id_avis,id_commande,note,commentaire,date_avis
AVI00137,CMD00251,4.0,Bon produit,2025-12-07
AVI00100,CMD00359,4.0,Bien mais emballage moyen,2025-08-29
AVI00224,CMD00699,2.0,Emballage abime,2025-04-09
AVI00276,CMD00604,3.0,Attendu mieux pour ce prix,2025-08-04
AVI00083,CMD00116,1.0,Service client injoignable,2026-01-14
AVI00294,CMD00109,3.0,Attendu mieux pour ce prix,2025-06-30
AVI00096,CMD00214,5.0,"Produit conforme, livraison rapide",2025-05-15
AVI00177,CMD00066,1.0,Produit defectueux,2025-11-23
AVI00262,CMD00443,2.0,Decu par la qualite,2025-05-02
AVI00215,CMD00046,5.0,Parfait,2025-08-25
AVI00337,CMD00496,4.0,Satisfait dans l'ensemble,2025-07-02
AVI00360,CMD00673,4.0,Bien mais emballage moyen,2026-02-07
AVI00053,CMD00581,5.0,Tres satisfait,2026-01-16
AVI00021,CMD00327,-2.0,Livraison lente mais produit ok,2025-03-27
AVI00371,CMD00429,5.0,"Produit conforme, livraison rapide",2025-07-05
AVI00202,CMD00252,4.0,Conforme a la description,2025-02-02
AVI00122,CMD00311,5.0,Parfait,2025-11-11
AVI00157,CMD00376,4.0,Bien mais emballage moyen,2025-09-17
AVI00151,CMD00131,3.0,Attendu mieux pour ce prix,2025-11-23
AVI00310,CMD00656,3.0,Livraison lente mais produit ok,2025-04-11
AVI00351,CMD00354,4.0,Bon produit,2025-10-11
AVI00383,CMD00325,2.0,Emballage abime,2025-09-29
AVI00071,CMD00313,3.0,Attendu mieux pour ce prix,2025-09-08
AVI00087,CMD00091,3.0,Moyen,2025-03-27
AVI00375,CMD00497,4.0,Satisfait dans l'ensemble,2025-06-30
AVI00110,CMD00236,4.0,Bien mais emballage moyen,2025-08-18
AVI00222,CMD00199,5.0,"Produit conforme, livraison rapide",2026-01-14
AVI00191,CMD00202,5.0,Parfait,2025-12-06
AVI00362,CMD00475,3.0,Livraison lente mais produit ok,2026-01-09
AVI00184,CMD00119,4.0,Bien mais emballage moyen,2025-06-14
AVI00059,CMD00396,5.0,Tres satisfait,2025-11-03
AVI00036,CMD00144,3.0,Attendu mieux pour ce prix,2025-12-02
AVI00275,CMD00215,4.0,Bien mais emballage moyen,2025-10-22
AVI00336,CMD00037,3.0,Correct sans plus,2025-09-04
AVI00200,CMD00032,5.0,Tres satisfait,2025-06-29
AVI00017,CMD00645,4.0,Conforme a la description,2025-08-27
AVI00313,CMD00306,5.0,"Produit conforme, livraison rapide",2025-09-26
AVI00260,CMD00124,1.0,Service client injoignable,2025-08-09
AVI00135,CMD00554,4.0,Conforme a la description,2025-06-24
AVI00281,CMD90004,5.0,Excellent rapport qualite prix,2025-06-26
AVI00343,CMD00661,4.0,Satisfait dans l'ensemble,2025-11-13
AVI00182,CMD00484,,Tres satisfait,2026-01-01
AVI00335,CMD00356,5.0,"Produit conforme, livraison rapide",2026-03-02
AVI00269,CMD00087,4.0,Satisfait dans l'ensemble,2025-07-11
AVI00259,CMD00450,4.0,Satisfait dans l'ensemble,2025-11-04
AVI00392,CMD00508,3.0,Moyen,2025-10-29
AVI00288,CMD00256,5.0,Excellent rapport qualite prix,2025-06-21
AVI00329,CMD00626,2.0,Ne correspond pas tout a fait,2025-05-28
AVI00136,CMD00591,3.0,Attendu mieux pour ce prix,2026-02-04
AVI00327,CMD00036,3.0,Livraison lente mais produit ok,2025-09-02
AVI00108,CMD00561,1.0,Service client injoignable,2025-11-08
AVI00102,CMD00346,3.0,Attendu mieux pour ce prix,2025-07-07
AVI00190,CMD00194,5.0,Tres satisfait,2025-10-12
AVI00380,CMD00064,1.0,Produit defectueux,2025-04-13
AVI00081,CMD00122,2.0,Livraison tres lente,2025-12-09
AVI00237,CMD00478,3.0,Livraison lente mais produit ok,2025-08-17
AVI00385,CMD00358,5.0,Excellent rapport qualite prix,2025-08-28
AVI00220,CMD00282,1.0,Tres decu,2025-04-13
AVI00223,CMD00189,4.0,Satisfait dans l'ensemble,2026-01-07
AVI00015,CMD00480,4.0,Bien mais emballage moyen,2025-11-26
AVI00109,CMD00400,4.0,Satisfait dans l'ensemble,2025-06-13
AVI00140,CMD00157,4.0,Conforme a la description,2025-05-16
AVI00300,CMD00546,3.0,Correct sans plus,2025-11-05
AVI00400,CMD00550,2.0,Emballage abime,2025-08-09
