id_paiement,id_commande,montant_paye,mode_paiement,date_paiement,statut_paiement
PAY00460,CMD00460,1079000.0,Especes a la livraison,2026-01-14 14:46:00,Valide
PAY00286,CMD00286,74000.0,Virement,2025-12-07 18:36:00,Valide
PAY00687,CMD00687,141800.0,Especes a la livraison,2025-12-06 11:00:00,Valide
PAY00669,CMD00669,219500.0,Especes a la livraison,2025-08-20 19:00:00,Valide
PAY00038,CMD00038,215600.0,Carte bancaire,2025-11-22 11:01:00,Valide
PAY00005,CMD00005,747600.0,Mobile Money,2025-09-25 04:50:00,Valide
PAY00605,CMD00605,748800.0,Carte bancaire,2025-10-12 08:42:00,Valide
PAY00558,CMD00558,753200.0,Virement,2025-04-07 21:58:00,Valide
PAY00663,CMD00663,25700.0,Especes a la livraison,2025-11-09 06:59:00,Echoue
PAY00375,CMD00375,139100.0,Mobile Money,2025-03-31 12:27:00,Valide
PAY00261,CMD00261,872100.0,Virement,2025-03-30 05:15:00,Valide
PAY00059,CMD00059,25400.0,Especes a la livraison,2025-06-10 01:56:00,Valide
PAY00102,CMD00102,136200.0,Virement,2025-11-13 17:02:00,Valide
PAY00086,CMD00086,484800.0,Carte bancaire,2026-01-20 15:05:00,Valide
PAY00088,CMD00088,50600.0,Virement,2025-03-02 03:13:00,Valide
PAY00190,CMD00190,1347500.0,Especes a la livraison,2025-01-03 15:32:00,Rembourse
PAY00227,CMD00227,575900.0,Virement,2025-12-13 07:27:00,Valide
PAY00022,CMD00022,509000.0,Carte bancaire,2025-08-22 20:13:00,Valide
PAY00684,CMD00684,1632400.0,Carte bancaire,2025-10-06 04:10:00,Valide
PAY00522,CMD00522,590500.0,Especes a la livraison,2025-12-27 16:01:00,Valide
PAY00001,CMD00001,42200.0,Virement,2025-03-21 01:19:00,Valide
PAY00511,CMD00511,118400.0,Especes a la livraison,2025-03-28 07:57:00,Valide
PAY00545,CMD00545,469400.0,Carte bancaire,2025-06-06 03:14:00,Valide
PAY00334,CMD00334,32000.0,Mobile Money,2025-07-29 15:29:00,Rembourse
PAY00405,CMD00405,816200.0,Mobile Money,2025-10-28 12:52:00,Echoue
PAY00552,CMD00552,26800.0,Especes a la livraison,2025-04-19 08:32:00,Valide
PAY00211,CMD00211,163600.0,Virement,2025-09-20 00:13:00,Valide
PAY00560,CMD00560,102500.0,Especes a la livraison,2025-06-03 16:15:00,Valide
